PartialNodeId,SubIndex,NodeValueServerTime,NodeValueSourceTime,NodeValue,NodeValueQuality,NodeValueType
2,-1,131757417546282968,131757417547390055,813,1,11
2,-1,131757417575815139,131757417578440203,862.4,1,11
2,-1,131757417607534532,131757417609506288,848.1,1,11
2,-1,131757417638160187,131757417640556089,806.8,1,11
2,-1,131757417664410902,131757417667151301,846.1,1,11
2,-1,131757417697224187,131757417698175780,831.3,1,11
2,-1,131757417728943881,131757417729211718,836.9,1,11
2,-1,131757417758475788,131757417760237723,816.2,1,11
2,-1,131757417784726380,131757417786832931,822.2,1,11
2,-1,131757417814258404,131757417817858842,810.2,1,11
2,-1,131757417847071592,131757417848883233,810,1,11
2,-1,131757417878791160,131757417879935477,821.6,1,11
2,-1,131757417909416914,131757417910961966,815.8,1,11
2,-1,131757417935667561,131757417937580957,808,1,11
2,-1,131757417967387196,131757417968605031,798.7,1,11
2,-1,131757417996919179,131757417999610398,806.6,1,11
2,-1,131757418028638699,131757418030642070,798.5,1,11
2,-1,131757418054889325,131757418057232760,826.1,1,11
2,-1,131757418085515161,131757418088253345,806.3,1,11
2,-1,131757418117234503,131757418119246803,806.7,1,11
2,-1,131757418148954101,131757418150307001,808.8,1,11
2,-1,131757418176298454,131757418176897949,804.3,1,11
2,-1,131757418206924435,131757418207925339,788.2,1,11
2,-1,131757418237550018,131757418238956360,780.9,1,11
2,-1,131757418268175817,131757418269978829,881,1,11
2,-1,131757418298801575,131757418301013300,805.1,1,11
2,-1,131757418325052112,131757418327637951,795.8,1,11
2,-1,131757418356771686,131757418358669442,803.1,1,11
2,-1,131757418388491315,131757418389671669,795.7,1,11
2,-1,131757418420210804,131757418420740908,798.4,1,11
2,-1,131757418446461433,131757418447315899,801,1,11
2,-1,131757418477087212,131757418478345300,797,1,11
2,-1,131757418506619129,131757418509398073,792.4,1,11
2,-1,131757418538338673,131757418540441655,795,1,11
2,-1,131757418564589374,131757418567018234,881.8,1,11
2,-1,131757418596308856,131757418598067354,876.4,1,11
2,-1,131757418626934733,131757418629094429,872.7,1,11
2,-1,131757418658654291,131757418660137675,827,1,11
2,-1,131757418689280076,131757418691164177,824,1,11
2,-1,131757418716624330,131757418717774224,805,1,11
2,-1,131757418746156340,131757418748799754,805.8,1,11
2,-1,131757418777875808,131757418779829747,810.5,1,11
2,-1,131757418808501563,131757418810877840,814.3,1,11
2,-1,131757418834908492,131757418837466156,775.6,1,11
2,-1,131757418867565521,131757418868498477,771.6,1,11
2,-1,131757418898191320,131757418899529961,789,1,11
2,-1,131757418928817095,131757418930560384,796.8,1,11
2,-1,131757418959442781,131757418961591970,784.1,1,11
2,-1,131757418985693445,131757418988200390,793.6,1,11
2,-1,131757419017413063,131757419019238567,786.9,1,11
2,-1,131757419049132453,131757419050280038,795,1,11
2,-1,131757419079758245,131757419081298963,782.7,1,11
2,-1,131757419106008857,131757419107900839,786,1,11
2,-1,131757419137728425,131757419138924389,839,1,11
2,-1,131757419168354135,131757419169957619,823,1,11
2,-1,131757419198980053,131757419200984174,826.3,1,11
2,-1,131757419226324592,131757419227576234,810.1,1,11
2,-1,131757419255856383,131757419258596974,809.6,1,11
2,-1,131757419287575885,131757419289613892,806.5,1,11
2,-1,131757419320389193,131757419320663087,796.3,1,11
2,-1,131757419349921303,131757419351702808,767.7,1,11
2,-1,131757419377265577,131757419378332626,803.2,1,11
2,-1,131757419407891387,131757419409361888,790,1,11
2,-1,131757419437423482,131757419440392084,801.9,1,11
2,-1,131757419469142971,131757419471417849,829.5,1,11
2,-1,131757419496487273,131757419498003294,884.3,1,11
2,-1,131757419527269385,131757419529047088,816.9,1,11
2,-1,131757419558832547,131757419560082184,822.5,1,11
2,-1,131757419588364536,131757419591102684,812.1,1,11
2,-1,131757419615708985,131757419617728434,816.5,1,11
2,-1,131757419647428529,131757419648769641,818.3,1,11
2,-1,131757419676960553,131757419679812821,825.4,1,11
2,-1,131757419708680027,131757419710832406,885.1,1,11
2,-1,131757419740399520,131757419741864894,865.6,1,11
2,-1,131757419766650279,131757419768464429,864.8,1,11
2,-1,131757419797275972,131757419799479926,808.5,1,11
2,-1,131757419830089229,131757419830524262,807.7,1,11
2,-1,131757419859621208,131757419861530527,873.4,1,11
2,-1,131757419885871954,131757419888119190,829.4,1,11
2,-1,131757419916497609,131757419919148450,828.4,1,11
2,-1,131757419947123525,131757419950184893,819.8,1,11
2,-1,131757419979936706,131757419981200568,811.1,1,11
2,-1,131757420006187278,131757420007770026,822.8,1,11
2,-1,131757420037907023,131757420038816472,820.6,1,11
2,-1,131757420067438828,131757420069834112,802.8,1,11
2,-1,131757420099158453,131757420100880356,794.5,1,11
2,-1,131757420129784197,131757420131907218,800.5,1,11
2,-1,131757420156035005,131757420158507914,784.9,1,11
2,-1,131757420187754292,131757420189525889,771.7,1,11
2,-1,131757420218380077,131757420220544999,781.4,1,11
2,-1,131757420250099648,131757420251619488,779.7,1,11
2,-1,131757420276350212,131757420278212322,807.5,1,11
